name,category,type,imgAlt,imgSrc,size_name1,price1,description1,size_name2,price2,description2,size_name3,price3,description3
Café Americano,Bebidas,drink,"Café negro americano","/menu/cafe_americano.webp",Chico,25,"250 ml",Mediano,35,"350 ml",Grande,45,"450 ml"
Café Latte,Bebidas,drink,"Café con leche vaporizada","/menu/cafe_latte.webp",Chico,35,"300 ml",Mediano,45,"400 ml",Grande,55,"500 ml"
Capuchino,Bebidas,drink,"Café espresso con leche espumosa","/menu/cafe_capuchino.webp",Chico,40,"250 ml",Mediano,50,"350 ml",Grande,60,"450 ml"
Chocolate Caliente,Bebidas,drink,"Chocolate caliente cremoso","/menu/chocolate_caliente.webp",Chico,35,"250 ml",Mediano,45,"350 ml",Grande,55,"450 ml"
Té Negro,Bebidas,drink,"Té negro de calidad premium","/menu/te_negro.webp",Taza Individual,25,"200 ml",Taza Doble,40,"400 ml",,
Jugo de Naranja Natural,Bebidas,drink,"Jugo de naranja recién exprimido","/menu/jugo_naranja.webp",Vaso,35,"300 ml",Jarra,65,"600 ml",,
Jugo Verde,Bebidas,drink,"Mezcla saludable de nopal, piña y apio","/menu/jugo_verde.webp",Vaso,40,"Recién hecho 400 ml",Litro,95,"Para llevar 1 litro",,
Licuado de Fruta,Bebidas,drink,"Licuado de leche con fruta natural","/menu/licuado.webp",Chico,35,"Fresa, Plátano o Choco-milk",Grande,50,"Vaso grande de 500 ml",,
Agua Fresca del Día,Bebidas,drink,"Agua de sabor natural (Horchata/Jamaica)","/menu/agua_horchata.webp",Vaso,30,"500 ml",Litro,60,"Jarra de 1 litro",,
Refresco Embotellado,Bebidas,drink,"Coca-Cola, Sprite, Fanta o Manzana","/menu/refresco.webp",Lata/Botella,30,"355 ml",,,,,,
Limonada o Naranjada,Bebidas,drink,"Preparada con agua mineral o natural","/menu/limonada.webp",Vaso,35,"Refrescante 500 ml",Jarra,90,"Jarra familiar",,
Agua Embotellada,Bebidas,drink,"Botella de agua natural","/menu/agua_botella.webp",Botella,20,"500 ml",,,,,,
Huevos al Gusto,Desayunos,food,"Huevos preparados al gusto del cliente","/menu/huevos_gusto.webp",Orden,90,"Revueltos, estrellados, omelette o torta con jamón/tocino/chorizo",,,,,,
Huevos Rancheros,Desayunos,food,"Huevos rancheros tradicionales","/menu/huevos_rancheros.webp",Orden,90,"Bañados en salsa montados en tortilla y frijoles",,,,,,
Molletes,Desayunos,food,"Molletes gratinados","/menu/molletes.webp",Orden,60,"Con queso gratinado",,,,,,
Chilaquiles Verdes,Desayunos,food,"Chilaquiles verdes con huevo","/menu/chilaquiles_verdes.webp",Orden,120,"Acompañados con huevos y frijoles",,,,,,
Huevos con Machaca,Desayunos,food,"Huevos revueltos con machaca","/menu/huevos_machaca.webp",Orden,90,"Acompañados con frijoles",,,,,,
Huevos a la Mexicana,Desayunos,food,"Huevos a la mexicana","/menu/huevos_mexicana.webp",Orden,90,"Acompañados con frijoles",,,,,,
Quesadillas,Desayunos,food,"Quesadillas sencillas","/menu/quesadillas.webp",Maíz,20,"Acompañada con ensalada",Harina,40,"Acompañada con ensalada",,
Desayuno Parralito,Desayunos,food,"Desayuno completo con lomo","/menu/huevos_lomo.webp",Orden,170,"Huevos al gusto con lomo picado o rebanado y frijoles",,,,,,
Desayuno del Rancho,Desayunos,food,"Desayuno completo con bistec","/menu/huevos_bistec.webp",Orden,170,"Huevos al gusto con bistec ranchero y frijoles",,,,,,
Caldo de Pollo,Comidas,food,"Caldo de pollo tradicional","/menu/caldo_pollo.webp",Orden,80,"Pollo fresco del día con verduras y arroz",,,,,,
Caldo Tlalpeño,Comidas,food,"Caldo tlalpeño preparado","/menu/caldo_tlalpenio.webp",Orden,100,"Con pollo, papa, aguacate, garbanzo y chipotle",,,,,,
Caldosa,Comidas,food,"Caldosa abundante","/menu/caldo_pollo.webp",Orden,100,"Caldo de pollo con más carne, verduras y arroz",,,,,,
Sopa de Tortilla,Comidas,food,"Sopa de tortilla tradicional","/menu/sopa_tortilla.webp",Orden,100,"Rico caldo de pollo, guajillo, aguacate y queso",,,,,,
Chuletas de Puerco,Comidas,food,"Plato de chuletas de puerco","/menu/chuleta_puerco.webp",Orden,170,"Con papas fritas, frijoles y ensalada",,,,,,
Bisteck,Comidas,food,"Plato de bisteck","/menu/bisteck.webp",Orden,170,"Acompañado con papas fritas, frijoles y ensalada",,,,,,
Carne Molida,Comidas,food,"Platillo de carne molida","/menu/carne_molida.webp",Orden,170,"Con papas, tomate y cebolla picados y ensalada",,,,,,
Pollo Frito,Comidas,food,"Pollo frito crujiente","menu/pollo_frito.webp",Orden,170,"Servido con papas fritas, frijoles y ensalada",,,,,,
Lomo Rebanado,Comidas,food,"Lomo rebanado preparado","/menu/lomo_rebanado.webp",Orden,170,"Con papas fritas, frijoles y ensalada",,,,,,
Lomo Picado,Comidas,food,"Lomo picado guisado","/menu/lomo_picado.webp",Orden,170,"Con papas, tomate y cebolla picados y ensalada",,,,,,
Chiles Rellenos,Comidas,food,"Chiles rellenos de queso","/menu/chiles_rellenos.webp",Orden,160,"De queso, con papas, frijoles y ensalada",,,,,,
Bisteck Ranchero,Comidas,food,"Bisteck en salsa ranchera","/menu/bistec_ranchero.webp",Orden,170,"En sabrosa salsa ranchera y con frijoles refritos",,,,,,
Tampiqueña,Comidas,food,"Carne tampiqueña completa","/menu/tampiquenia.webp",Orden,200,"Bisteck o puerco, chile relleno, pollo, frijoles y ensalada",,,,,,
Vegetariana,Comidas,food,"Opción vegetariana completa","/menu/vegetariana.webp",Orden,170,"Arroz, papas, ensalada verde, chile relleno, taco de papa",,,,,,
Lonches y Burritos Especiales,Antojitos,food,"Lonches y burritos variados","/menu/lonches.webp",Orden,75,"Lomo, Molida, Chile Relleno, Puerco o Jamón",,,,,,
Burritos Sencillos,Antojitos,food,"Burritos de guiso sencillo","/menu/burritos_sencillos.webp",Huevo,50,"Burrito de huevo",Frijoles,50,"Burrito de frijoles",,
Taquitos de Papa,Antojitos,food,"Taquitos dorados de papa","/menu/taquitos_papa.webp",Orden,60,"Doraditos orden de 4",,,,,,
Lonches Combinados,Antojitos,food,"Lonche de dos ingredientes","/menu/lonches_combinados.webp",Orden,95,"De dos ingredientes a elegir",,,,,,
Hamburguesas,Antojitos,food,"Hamburguesa clásica","/menu/hamburguesas.webp",Sola,80,"Con jamón y queso amarillo",Con Papas,100,"Incluye papas fritas",,
Club Sandwich,Antojitos,food,"Sandwich club de 3 pisos","/menu/club_sandwich.webp",Orden,75,"Jamón y queso, de lomo o pollo (pan blanco o integral)",,,,,,
Orden de Papas Fritas,Antojitos,food,"Papas a la francesa","/menu/orden_papas.webp",Orden,60,"Orden individual",,,,,,
Para los Peques,Antojitos,food,"Platillo infantil","/menu/boneless_pollo.webp",Orden,75,"Boneless de pollo y papas fritas",,,,,,
Ingrediente Extra,Antojitos,food,"Porción extra","/menu/queso_gratinado.webp",Porción,25,"Ingrediente extra para cualquier platillo",,,,,,
